duration,pdays,year_2008,balance_education_secondary,balance_education_tertiary,duration_default_no,balance_housing_no,duration_housing_no,duration_loan_no,duration_contact_cellular,age_month_1,duration_month_10,duration_month_11,age_month_2,duration_month_3,age_month_5,duration_poutcome_success,age_year_2009,duration_year_2010,duration_age
261,-1,1,0,2143,261,0,0,261,0,0,0,0,0,0,58,0,0,0,15138
151,-1,1,29,0,151,0,0,151,0,0,0,0,0,0,44,0,0,0,6644
76,-1,1,2,0,76,0,0,0,0,0,0,0,0,0,33,0,0,0,2508
92,-1,1,0,0,92,0,0,92,0,0,0,0,0,0,47,0,0,0,4324
198,-1,1,0,0,198,1,198,198,0,0,0,0,0,0,33,0,0,0,6534
139,-1,1,0,231,139,0,0,139,0,0,0,0,0,0,35,0,0,0,4865
217,-1,1,0,447,217,0,0,0,0,0,0,0,0,0,28,0,0,0,6076
380,-1,1,0,2,0,0,0,380,0,0,0,0,0,0,42,0,0,0,15960
50,-1,1,0,0,50,0,0,50,0,0,0,0,0,0,58,0,0,0,2900
55,-1,1,593,0,55,0,0,55,0,0,0,0,0,0,43,0,0,0,2365
222,-1,1,270,0,222,0,0,222,0,0,0,0,0,0,41,0,0,0,9102
137,-1,1,390,0,137,0,0,137,0,0,0,0,0,0,29,0,0,0,3973
517,-1,1,6,0,517,0,0,517,0,0,0,0,0,0,53,0,0,0,27401
71,-1,1,0,0,71,0,0,71,0,0,0,0,0,0,58,0,0,0,4118
174,-1,1,162,0,174,0,0,174,0,0,0,0,0,0,57,0,0,0,9918
353,-1,1,0,0,353,0,0,353,0,0,0,0,0,0,51,0,0,0,18003
98,-1,1,0,0,98,0,0,98,0,0,0,0,0,0,45,0,0,0,4410
38,-1,1,0,0,38,0,0,38,0,0,0,0,0,0,57,0,0,0,2166
219,-1,1,0,0,219,0,0,219,0,0,0,0,0,0,60,0,0,0,13140
54,-1,1,0,0,54,0,0,54,0,0,0,0,0,0,33,0,0,0,1782
262,-1,1,723,0,262,0,0,0,0,0,0,0,0,0,28,0,0,0,7336
164,-1,1,0,779,164,0,0,164,0,0,0,0,0,0,56,0,0,0,9184
160,-1,1,0,0,160,0,0,0,0,0,0,0,0,0,32,0,0,0,5120
342,-1,1,50,0,342,0,0,342,0,0,0,0,0,0,25,0,0,0,8550
181,-1,1,0,0,181,0,0,0,0,0,0,0,0,0,40,0,0,0,7240
172,-1,1,-372,0,172,0,0,172,0,0,0,0,0,0,44,0,0,0,7568
296,-1,1,0,255,296,0,0,296,0,0,0,0,0,0,39,0,0,0,11544
127,-1,1,113,0,127,0,0,0,0,0,0,0,0,0,52,0,0,0,6604
255,-1,1,-246,0,255,0,0,255,0,0,0,0,0,0,46,0,0,0,11730
348,-1,1,265,0,348,0,0,0,0,0,0,0,0,0,36,0,0,0,12528
225,-1,1,839,0,225,839,225,0,0,0,0,0,0,0,57,0,0,0,12825
230,-1,1,0,378,230,0,0,230,0,0,0,0,0,0,49,0,0,0,11270
208,-1,1,39,0,208,0,0,0,0,0,0,0,0,0,60,0,0,0,12480
226,-1,1,0,0,226,0,0,226,0,0,0,0,0,0,59,0,0,0,13334
336,-1,1,0,10635,336,0,0,336,0,0,0,0,0,0,51,0,0,0,17136
242,-1,1,63,0,242,0,0,242,0,0,0,0,0,0,57,0,0,0,13794
365,-1,1,-7,0,365,0,0,365,0,0,0,0,0,0,25,0,0,0,9125
1666,-1,1,-3,0,1666,-3,1666,1666,0,0,0,0,0,0,53,0,0,0,88298
577,-1,1,506,0,577,0,0,577,0,0,0,0,0,0,36,0,0,0,20772
137,-1,1,0,0,137,0,0,137,0,0,0,0,0,0,37,0,0,0,5069
160,-1,1,2586,0,160,0,0,160,0,0,0,0,0,0,44,0,0,0,7040
180,-1,1,49,0,180,0,0,180,0,0,0,0,0,0,50,0,0,0,9000
22,-1,1,0,0,22,0,0,22,0,0,0,0,0,0,60,0,0,0,1320
1492,-1,1,529,0,1492,0,0,1492,0,0,0,0,0,0,54,0,0,0,80568
616,-1,1,0,0,616,0,0,616,0,0,0,0,0,0,58,0,0,0,35728
242,-1,1,0,0,242,0,0,242,0,0,0,0,0,0,36,0,0,0,8712
355,-1,1,0,-364,355,0,0,355,0,0,0,0,0,0,58,0,0,0,20590
225,-1,1,0,0,225,0,0,225,0,0,0,0,0,0,44,0,0,0,9900
160,-1,1,0,0,160,0,160,160,0,0,0,0,0,0,55,0,0,0,8800
363,-1,1,0,0,363,0,0,363,0,0,0,0,0,0,29,0,0,0,10527
266,-1,1,1291,0,266,0,0,266,0,0,0,0,0,0,54,0,0,0,14364
253,-1,1,0,-244,253,0,0,253,0,0,0,0,0,0,48,0,0,0,12144
179,-1,1,0,0,179,0,0,179,0,0,0,0,0,0,32,0,0,0,5728
787,-1,1,-76,0,787,0,0,787,0,0,0,0,0,0,42,0,0,0,33054
145,-1,1,-103,0,145,0,0,0,0,0,0,0,0,0,24,0,0,0,3480
174,-1,1,0,243,174,243,174,0,0,0,0,0,0,0,38,0,0,0,6612
104,-1,1,0,424,104,0,0,104,0,0,0,0,0,0,38,0,0,0,3952
13,-1,1,0,0,13,0,0,13,0,0,0,0,0,0,47,0,0,0,611
185,-1,1,0,0,185,0,0,185,0,0,0,0,0,0,40,0,0,0,7400
1778,-1,1,0,0,1778,0,0,1778,0,0,0,0,0,0,46,0,0,0,81788
138,-1,1,0,0,138,0,0,138,0,0,0,0,0,0,32,0,0,0,4416
812,-1,1,989,0,812,0,0,812,0,0,0,0,0,0,53,0,0,0,43036
164,-1,1,0,0,164,0,0,164,0,0,0,0,0,0,57,0,0,0,9348
391,-1,1,790,0,391,0,0,391,0,0,0,0,0,0,33,0,0,0,12903
357,-1,1,0,0,357,0,0,357,0,0,0,0,0,0,49,0,0,0,17493
91,-1,1,0,6530,91,0,0,91,0,0,0,0,0,0,51,0,0,0,4641
528,-1,1,0,100,528,100,528,528,0,0,0,0,0,0,60,0,0,0,31680
273,-1,1,0,59,273,0,0,273,0,0,0,0,0,0,59,0,0,0,16107
158,-1,1,1205,0,158,0,0,158,0,0,0,0,0,0,55,0,0,0,8690
177,-1,1,12223,0,177,0,0,0,0,0,0,0,0,0,35,0,0,0,6195
258,-1,1,5935,0,258,0,0,0,0,0,0,0,0,0,57,0,0,0,14706
172,-1,1,25,0,172,0,0,0,0,0,0,0,0,0,31,0,0,0,5332
154,-1,1,282,0,154,0,0,0,0,0,0,0,0,0,54,0,0,0,8316
291,-1,1,0,0,291,0,0,291,0,0,0,0,0,0,55,0,0,0,16005
181,-1,1,1937,0,181,0,0,181,0,0,0,0,0,0,43,0,0,0,7783
176,-1,1,384,0,176,0,0,176,0,0,0,0,0,0,53,0,0,0,9328
211,-1,1,582,0,211,582,211,0,0,0,0,0,0,0,44,0,0,0,9284
349,-1,1,91,0,349,91,349,349,0,0,0,0,0,0,55,0,0,0,19195
272,-1,1,0,0,272,0,0,0,0,0,0,0,0,0,49,0,0,0,13328
208,-1,1,1,0,0,0,0,208,0,0,0,0,0,0,55,0,0,0,11440
193,-1,1,206,0,193,0,0,193,0,0,0,0,0,0,45,0,0,0,8685
212,-1,1,164,0,212,164,212,212,0,0,0,0,0,0,47,0,0,0,9964
20,-1,1,690,0,20,0,0,20,0,0,0,0,0,0,42,0,0,0,840
1042,-1,1,2343,0,1042,0,0,1042,0,0,0,0,0,0,59,0,0,0,61478
246,-1,1,0,137,246,0,0,0,0,0,0,0,0,0,46,0,0,0,11316
529,-1,1,0,0,529,0,0,529,0,0,0,0,0,0,51,0,0,0,26979
1467,-1,1,45,0,1467,45,1467,1467,0,0,0,0,0,0,56,0,0,0,82152
1389,-1,1,1270,0,1389,0,0,1389,0,0,0,0,0,0,41,0,0,0,56949
188,-1,1,16,0,188,0,0,0,0,0,0,0,0,0,46,0,0,0,8648
180,-1,1,486,0,180,0,0,180,0,0,0,0,0,0,57,0,0,0,10260
48,-1,1,50,0,48,50,48,48,0,0,0,0,0,0,42,0,0,0,2016
213,-1,1,152,0,213,0,0,0,0,0,0,0,0,0,30,0,0,0,6390
583,-1,1,290,0,583,0,0,583,0,0,0,0,0,0,60,0,0,0,34980
221,-1,1,0,0,221,0,0,221,0,0,0,0,0,0,60,0,0,0,13260
173,-1,1,-37,0,173,-37,173,173,0,0,0,0,0,0,57,0,0,0,9861
426,-1,1,0,101,426,0,0,0,0,0,0,0,0,0,36,0,0,0,15336
287,-1,1,383,0,287,383,287,287,0,0,0,0,0,0,55,0,0,0,15785
101,-1,1,0,81,101,0,0,101,0,0,0,0,0,0,60,0,0,0,6060
203,-1,1,0,0,203,0,0,203,0,0,0,0,0,0,39,0,0,0,7917
197,-1,1,0,229,197,0,0,197,0,0,0,0,0,0,46,0,0,0,9062
257,-1,1,-674,0,257,0,0,257,0,0,0,0,0,0,44,0,0,0,11308
124,-1,1,0,0,124,90,124,124,0,0,0,0,0,0,53,0,0,0,6572
229,-1,1,0,0,229,0,0,229,0,0,0,0,0,0,52,0,0,0,11908
55,-1,1,0,0,55,0,0,55,0,0,0,0,0,0,59,0,0,0,3245
400,-1,1,0,0,400,0,0,400,0,0,0,0,0,0,27,0,0,0,10800
197,-1,1,54,0,197,0,0,197,0,0,0,0,0,0,44,0,0,0,8668
190,-1,1,0,151,190,0,0,190,0,0,0,0,0,0,47,0,0,0,8930
21,-1,1,61,0,21,61,21,0,0,0,0,0,0,0,34,0,0,0,714
514,-1,1,30,0,514,0,0,514,0,0,0,0,0,0,59,0,0,0,30326
849,-1,1,0,523,849,0,0,849,0,0,0,0,0,0,45,0,0,0,38205
194,-1,1,31,0,194,0,0,194,0,0,0,0,0,0,29,0,0,0,5626
144,-1,1,79,0,144,79,144,144,0,0,0,0,0,0,46,0,0,0,6624
212,-1,1,0,0,212,0,0,0,0,0,0,0,0,0,56,0,0,0,11872
286,-1,1,0,0,286,0,0,286,0,0,0,0,0,0,36,0,0,0,10296
107,-1,1,0,0,107,0,0,107,0,0,0,0,0,0,59,0,0,0,6313
247,-1,1,144,0,247,0,0,247,0,0,0,0,0,0,44,0,0,0,10868
518,-1,1,351,0,518,0,0,518,0,0,0,0,0,0,41,0,0,0,21238
364,-1,1,0,-67,364,0,0,364,0,0,0,0,0,0,33,0,0,0,12012
