duration,year_2008,duration_default_no,age_housing_no,balance_housing_no,duration_housing_no,duration_housing_yes,duration_loan_no,duration_contact_cellular,duration_poutcome_success,duration_poutcome_unknown,age_year_2008,duration_year_2008,campaign_year_2008,pdays_year_2008,age_year_2009,duration_year_2009,duration_year_2010,campaign_year_2010,duration_age
261,1,261,0,0,0,261,261,0,0,261,58,261,1,-1,0,0,0,0,15138
151,1,151,0,0,0,151,151,0,0,151,44,151,1,-1,0,0,0,0,6644
76,1,76,0,0,0,76,0,0,0,76,33,76,1,-1,0,0,0,0,2508
92,1,92,0,0,0,92,92,0,0,92,47,92,1,-1,0,0,0,0,4324
198,1,198,33,1,198,0,198,0,0,198,33,198,1,-1,0,0,0,0,6534
139,1,139,0,0,0,139,139,0,0,139,35,139,1,-1,0,0,0,0,4865
217,1,217,0,0,0,217,0,0,0,217,28,217,1,-1,0,0,0,0,6076
380,1,0,0,0,0,380,380,0,0,380,42,380,1,-1,0,0,0,0,15960
50,1,50,0,0,0,50,50,0,0,50,58,50,1,-1,0,0,0,0,2900
55,1,55,0,0,0,55,55,0,0,55,43,55,1,-1,0,0,0,0,2365
222,1,222,0,0,0,222,222,0,0,222,41,222,1,-1,0,0,0,0,9102
137,1,137,0,0,0,137,137,0,0,137,29,137,1,-1,0,0,0,0,3973
517,1,517,0,0,0,517,517,0,0,517,53,517,1,-1,0,0,0,0,27401
71,1,71,0,0,0,71,71,0,0,71,58,71,1,-1,0,0,0,0,4118
174,1,174,0,0,0,174,174,0,0,174,57,174,1,-1,0,0,0,0,9918
353,1,353,0,0,0,353,353,0,0,353,51,353,1,-1,0,0,0,0,18003
98,1,98,0,0,0,98,98,0,0,98,45,98,1,-1,0,0,0,0,4410
38,1,38,0,0,0,38,38,0,0,38,57,38,1,-1,0,0,0,0,2166
219,1,219,0,0,0,219,219,0,0,219,60,219,1,-1,0,0,0,0,13140
54,1,54,0,0,0,54,54,0,0,54,33,54,1,-1,0,0,0,0,1782
262,1,262,0,0,0,262,0,0,0,262,28,262,1,-1,0,0,0,0,7336
164,1,164,0,0,0,164,164,0,0,164,56,164,1,-1,0,0,0,0,9184
160,1,160,0,0,0,160,0,0,0,160,32,160,1,-1,0,0,0,0,5120
342,1,342,0,0,0,342,342,0,0,342,25,342,1,-1,0,0,0,0,8550
181,1,181,0,0,0,181,0,0,0,181,40,181,1,-1,0,0,0,0,7240
172,1,172,0,0,0,172,172,0,0,172,44,172,1,-1,0,0,0,0,7568
296,1,296,0,0,0,296,296,0,0,296,39,296,1,-1,0,0,0,0,11544
127,1,127,0,0,0,127,0,0,0,127,52,127,1,-1,0,0,0,0,6604
255,1,255,0,0,0,255,255,0,0,255,46,255,2,-1,0,0,0,0,11730
348,1,348,0,0,0,348,0,0,0,348,36,348,1,-1,0,0,0,0,12528
225,1,225,57,839,225,0,0,0,0,225,57,225,1,-1,0,0,0,0,12825
230,1,230,0,0,0,230,230,0,0,230,49,230,1,-1,0,0,0,0,11270
208,1,208,0,0,0,208,0,0,0,208,60,208,1,-1,0,0,0,0,12480
226,1,226,0,0,0,226,226,0,0,226,59,226,1,-1,0,0,0,0,13334
336,1,336,0,0,0,336,336,0,0,336,51,336,1,-1,0,0,0,0,17136
242,1,242,0,0,0,242,242,0,0,242,57,242,1,-1,0,0,0,0,13794
365,1,365,0,0,0,365,365,0,0,365,25,365,1,-1,0,0,0,0,9125
1666,1,1666,53,-3,1666,0,1666,0,0,1666,53,1666,1,-1,0,0,0,0,88298
577,1,577,0,0,0,577,577,0,0,577,36,577,1,-1,0,0,0,0,20772
137,1,137,0,0,0,137,137,0,0,137,37,137,1,-1,0,0,0,0,5069
160,1,160,0,0,0,160,160,0,0,160,44,160,1,-1,0,0,0,0,7040
180,1,180,0,0,0,180,180,0,0,180,50,180,2,-1,0,0,0,0,9000
22,1,22,0,0,0,22,22,0,0,22,60,22,1,-1,0,0,0,0,1320
1492,1,1492,0,0,0,1492,1492,0,0,1492,54,1492,1,-1,0,0,0,0,80568
616,1,616,0,0,0,616,616,0,0,616,58,616,1,-1,0,0,0,0,35728
242,1,242,0,0,0,242,242,0,0,242,36,242,1,-1,0,0,0,0,8712
355,1,355,0,0,0,355,355,0,0,355,58,355,1,-1,0,0,0,0,20590
225,1,225,0,0,0,225,225,0,0,225,44,225,2,-1,0,0,0,0,9900
160,1,160,55,0,160,0,160,0,0,160,55,160,1,-1,0,0,0,0,8800
363,1,363,0,0,0,363,363,0,0,363,29,363,1,-1,0,0,0,0,10527
266,1,266,0,0,0,266,266,0,0,266,54,266,1,-1,0,0,0,0,14364
253,1,253,0,0,0,253,253,0,0,253,48,253,1,-1,0,0,0,0,12144
179,1,179,0,0,0,179,179,0,0,179,32,179,1,-1,0,0,0,0,5728
787,1,787,0,0,0,787,787,0,0,787,42,787,1,-1,0,0,0,0,33054
145,1,145,0,0,0,145,0,0,0,145,24,145,1,-1,0,0,0,0,3480
174,1,174,38,243,174,0,0,0,0,174,38,174,1,-1,0,0,0,0,6612
104,1,104,0,0,0,104,104,0,0,104,38,104,1,-1,0,0,0,0,3952
13,1,13,0,0,0,13,13,0,0,13,47,13,1,-1,0,0,0,0,611
185,1,185,0,0,0,185,185,0,0,185,40,185,1,-1,0,0,0,0,7400
1778,1,1778,0,0,0,1778,1778,0,0,1778,46,1778,1,-1,0,0,0,0,81788
138,1,138,0,0,0,138,138,0,0,138,32,138,1,-1,0,0,0,0,4416
812,1,812,0,0,0,812,812,0,0,812,53,812,1,-1,0,0,0,0,43036
164,1,164,0,0,0,164,164,0,0,164,57,164,1,-1,0,0,0,0,9348
391,1,391,0,0,0,391,391,0,0,391,33,391,1,-1,0,0,0,0,12903
357,1,357,0,0,0,357,357,0,0,357,49,357,1,-1,0,0,0,0,17493
